ASA_Number,Tattoo,Eid,Name,Sex,Breeds,Color,Hps,GeneticHps,BirthWtAdj,BWT_Ratio,Weaning>WtAdj,Weaning>WWT_Ratio,Yearling>WtAdj,Yearling>YWT_Ratio,Yearling>Adj_Scr,Yearling>Adj_Pelvic_Area,Ultrasound>WtAdj,Ultrasound>WtRatio,Ultrasound>IMFAdj,Ultrasound>IMFRatio,Ultrasound>BFAdj,Ultrasound>BFRatio,Ultrasound>REAAdj,Ultrasound>REARatio,Epds>CeEpd,Epds>CeAcc,Percentile>CE,Epds>BirthWtEpd,Epds>BirthWtAcc,Percentile>BW,Epds>WeanWtEpd,Epds>WeanWtAcc,Percentile>WW,Epds>YearlingWtEpd,Epds>YearlingWtAcc,Percentile>YW,Epds>MceEpd,Epds>MceAcc,Percentile>MCE,Epds>MilkEpd,Epds>MilkAcc,Percentile>Milk,Epds>MwwEpd,Epds>MwwAcc,Percentile>MWW,Epds>StayEpd,Epds>StayAcc,Percentile>Stay,Epds>DocEpd,Epds>DocAcc,Percentile>Doc,Epds>CarcassWtEpd,Epds>CarcassWtAcc,Percentile>CW,Epds>YieldGradeEpd,Epds>YieldGradeAcc,Percentile>YG,Epds>MarblingEpd,Epds>MarblingAcc,Percentile>Marb,Epds>BackFatEpd,Epds>BackFatAcc,Percentile>BF,Epds>RibEyeEpd,Epds>RibEyeAcc,Percentile>REA,Epds>ShrForceEpd,Epds>ShrForceAcc,Percentile>SF,Epds>Api,Percentile>API,Epds>Ti,Percentile>TI
2716166,5A,0,HOOKS ACHILLES 5A,B,1/2 SM 1/2 AN,B,P,Homozygous Polled,83,0,693,0,1346,0,0,0,1355.0,99,3.75,99,0.30,103,16.40,103,9.1,0.69,90,0.5,0.83,55,79.5,0.80,30,125.0,0.76,30,5.2,0.53,80,10.0,0.55,99,49.7,0.63,95,19.0,0.43,10,13.5,0.65,30,42.6,0.68,20,-0.26,0.50,40,0.40,0.61,30,-0.046,0.54,50,0.89,0.63,15,-0.31,0.17,70,141.7,25,80.9,35
3107252,D313,0,SFG3 MMARK X 156B D313,B,1/2 SM 1/2 AN,B,P,Homozygous Polled,70,82,578,95,1074,97,0,0,1089.0,97,2.91,120,0.22,110,15.02,114,21.3,0.62,1,-4.6,0.76,2,58.8,0.69,95,97.3,0.66,85,14.4,0.34,1,16.6,0.21,95,45.9,0.34,99,19.6,0.32,5,11.5,0.38,60,14.5,0.61,95,-0.24,0.47,45,0.35,0.58,40,-0.034,0.49,65,0.54,0.59,75,-0.23,0.18,99,157.4,10,75.6,60
2954741,018C,0,GW TRIPLE CROWN 018C,B,5/8 SM 3/8 AN,B,P,Homozygous Polled,81,98,673,102,1208,100,0,0,1335.0,109,3.43,90,0.25,104,13.26,102,14.8,0.72,20,-2.7,0.86,10,83.9,0.83,20,142.6,0.83,10,9.9,0.55,10,29.0,0.52,10,70.9,0.60,10,17.9,0.40,15,18.6,0.47,2,53.7,0.72,4,-0.29,0.54,35,0.78,0.71,3,-0.058,0.61,35,1.04,0.69,4,-0.44,0.20,10,177.7,1,100.6,1
3043241,5186C,0,BAR CK/TBEF BALANCE 5186C,B,1/2 SM 1/2 AN,B,P,0,83,108,593,105,1127,104,31.3,0,1134.0,104,4.73,150,0.14,82,14.10,109,15.2,0.61,20,-1.5,0.84,20,74.6,0.80,50,119.1,0.78,40,9.4,0.46,15,30.6,0.37,4,67.9,0.48,15,18.7,0.29,10,12.3,0.62,45,50.2,0.75,10,-0.06,0.57,95,0.60,0.74,10,0.041,0.67,99,1.03,0.72,4,0,0,0,160.5,5,87.3,15
2810666,A732,0,IR DUNDEE A732,B,3/4 SM 1/4 AN,B,P,Homozygous Polled,96,108,746,136,1500,128,41.3,0,1506.0,128,4.13,111,0.39,170,19.04,135,10.1,0.59,80,2.0,0.74,80,83.5,0.71,20,129.0,0.69,25,6.3,0.36,60,26.8,0.36,20,68.5,0.45,15,14.0,0.29,60,11.6,0.35,55,32.8,0.61,50,-0.24,0.46,45,0.45,0.54,25,-0.037,0.48,65,0.76,0.57,30,0,0,0,134.1,40,84.3,25
3425278,814E,0,SCC-XL TRAILBOSS 814E,B,5/8 SM 3/8 AN,B,P,Homozygous Polled,82,0,665,0,0,0,0,0,1023.0,100,2.09,74,0.16,100,11.98,97,16.2,0.50,10,-1.1,0.61,25,70.7,0.49,65,107.7,0.50,70,8.0,0.27,30,18.7,0.22,85,54.0,0.32,80,20.2,0.26,4,9.5,0.29,85,26.3,0.49,75,-0.18,0.38,65,0.43,0.45,30,-0.041,0.37,50,0.48,0.46,80,-0.52,0.09,1,153.1,10,79.5,40
3261167,120E,0,LRS CRAFTSMAN 120E,B,PB SM,B,P,Homozygous Polled,80,0,786,0,1401,0,40.4,0,1404.0,106,2.52,108,0.19,86,13.41,95,9.0,0.52,75,3.1,0.64,80,82.9,0.61,25,133.0,0.60,15,3.0,0.32,95,26.7,0.23,25,68.1,0.34,20,16.8,0.31,45,8.3,0.39,85,40.8,0.51,15,-0.30,0.39,95,0.18,0.47,35,-0.066,0.39,95,0.82,0.47,65,-0.36,0.20,40,132.1,40,80.6,30
3256169,6176D,0,GIBBS 6176D FACEBOOK,B,5/8 SM 3/8 AN,B,P,Homozygous Polled,66,99,817,108,1211,104,0,0,1218.0,102,2.82,109,0.16,80,14.93,107,7.4,0.59,95,2.9,0.80,95,96.6,0.75,2,152.2,0.75,3,2.5,0.29,99,16.0,0.22,95,64.2,0.35,30,13.6,0.26,65,11.9,0.48,50,48.3,0.60,10,-0.23,0.46,50,0.61,0.57,10,-0.028,0.51,75,0.99,0.56,10,-0.43,0.18,15,142.5,25,93.7,3
3152346,265D,0,CDI MAINLINE 265D,B,3/4 SM 1/4 AN,B,P,Homozygous Polled,89,0,834,0,1160,0,37.8,0,1164.0,92,2.62,110,0.24,109,13.84,94,8.3,0.66,95,2.1,0.85,85,89.3,0.81,10,136.7,0.80,15,2.5,0.46,99,26.2,0.31,20,70.8,0.44,10,21.8,0.33,1,14.5,0.62,20,44.4,0.65,15,-0.38,0.51,15,0.17,0.63,80,-0.095,0.54,4,0.90,0.65,15,-0.47,0.20,4,134.8,40,81.1,35
3111909,0320C,0,CCR PAYDAY 0320C,B,1/2 SM 1/2 AN,B,P,Homozygous Polled,82,0,671,0,1349,0,0,0,1358.0,113,2.76,82,0.28,147,12.77,100,10.0,0.70,80,2.7,0.86,90,91.0,0.84,10,131.4,0.83,20,6.2,0.51,65,21.4,0.45,65,66.9,0.54,20,15.8,0.39,40,11.7,0.64,55,54.0,0.66,4,0.10,0.50,99,0.30,0.62,50,0.009,0.54,99,0.35,0.64,95,0,0,0,127.3,55,81.5,35
